(tensor(1.2957, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9437, device='cuda:0', grad_fn=<AddBackward0>), 1300)
(tensor(1.3764, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9877, device='cuda:0', grad_fn=<AddBackward0>), 1310)
(tensor(1.2777, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1716, device='cuda:0', grad_fn=<AddBackward0>), 1320)
(tensor(1.3312, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8328, device='cuda:0', grad_fn=<AddBackward0>), 1330)
(tensor(3.0582, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9248, device='cuda:0', grad_fn=<AddBackward0>), 1340)
(tensor(2.6161, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9783, device='cuda:0', grad_fn=<AddBackward0>), 1350)
(tensor(1.1385, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1963, device='cuda:0', grad_fn=<AddBackward0>), 1360)
(tensor(1.8594, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7105, device='cuda:0', grad_fn=<AddBackward0>), 1370)
(tensor(0.9711, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8176, device='cuda:0', grad_fn=<AddBackward0>), 1380)
(tensor(0.9686, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1577, device='cuda:0', grad_fn=<AddBackward0>), 1390)
(tensor(1.7394, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8689, device='cuda:0', grad_fn=<AddBackward0>), 1400)
(tensor(1.4045, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5929, device='cuda:0', grad_fn=<AddBackward0>), 1410)
(tensor(4.2127, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5987, device='cuda:0', grad_fn=<AddBackward0>), 1420)
(tensor(0.9676, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1017, device='cuda:0', grad_fn=<AddBackward0>), 1430)
(tensor(0.9695, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9030, device='cuda:0', grad_fn=<AddBackward0>), 1440)
(tensor(2.5509, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.7470, device='cuda:0', grad_fn=<AddBackward0>), 1450)
(tensor(0.5350, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3264, device='cuda:0', grad_fn=<AddBackward0>), 1460)
(tensor(1.4610, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6945, device='cuda:0', grad_fn=<AddBackward0>), 1470)
(tensor(0.9786, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1026, device='cuda:0', grad_fn=<AddBackward0>), 1480)
(tensor(1.4135, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9595, device='cuda:0', grad_fn=<AddBackward0>), 1490)
(tensor(1.1810, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0673, device='cuda:0', grad_fn=<AddBackward0>), 1500)
